time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,age_group,population_estimate
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Children aged 0 to 17 years,54154
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Children aged 0 to 17 years,37296
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Children aged 0 to 17 years,64311
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Children aged 0 to 17 years,52288
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Children aged 0 to 17 years,56279
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Children aged 0 to 17 years,44458
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Children aged 0 to 17 years,39177
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Children aged 0 to 17 years,70691
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Children aged 0 to 17 years,66152
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Children aged 0 to 17 years,51150
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Children aged 0 to 17 years,141374
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Children aged 0 to 17 years,45184
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Children aged 0 to 17 years,66679
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Children aged 0 to 17 years,62532
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Children aged 0 to 17 years,61596
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Children aged 0 to 17 years,99221
