time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,absence_terms,social_care_group,phase_type_grouping,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
202021,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,six half terms,CLA 12 months at 31 March,State-funded secondary,139,49344,6263,12.7,5203,10.5,1060,2.1,65,46.8,6,4.3
202021,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,six half terms,CLA 12 months at 31 March,State-funded primary,128,47628,2553,5.4,2202,4.6,351,0.7,28,21.9,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,six half terms,CLA 12 months at 31 March,Total,274,98048,8997,9.2,7242,7.4,1755,1.8,90,32.8,9,3.3
202021,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,six half terms,CLA 12 months at 31 March,State-funded secondary,134,47571,5061,10.6,4048,8.5,1013,2.1,56,41.8,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,six half terms,CLA 12 months at 31 March,State-funded primary,100,36710,1547,4.2,1514,4.1,33,0.1,15,15,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,six half terms,CLA 12 months at 31 March,Total,184,66152,7442,11.2,5887,8.9,1555,2.4,72,39.1,7,3.8
202021,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,six half terms,CLA 12 months at 31 March,State-funded secondary,93,32633,4723,14.5,3787,11.6,936,2.9,50,53.8,c,c
202021,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,six half terms,CLA 12 months at 31 March,State-funded primary,73,27160,1334,4.9,1252,4.6,82,0.3,13,17.8,0,0
202021,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,6,1889,653,34.6,425,22.5,228,12.1,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,six half terms,CLA 12 months at 31 March,Special,12,4470,732,16.4,423,9.5,309,6.9,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,six half terms,CLA 12 months at 31 March,Total,266,94072,10792,11.5,9070,9.6,1722,1.8,107,40.2,17,6.4
202021,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,six half terms,CLA 12 months at 31 March,State-funded secondary,134,46735,7071,15.1,5906,12.6,1165,2.5,72,53.7,9,6.7
202021,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,six half terms,CLA 12 months at 31 March,State-funded primary,99,36238,1616,4.5,1565,4.3,51,0.1,19,19.2,0,0
202021,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,12,3505,1710,48.8,1259,35.9,451,12.9,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,six half terms,CLA 12 months at 31 March,Special,21,7594,395,5.2,340,4.5,55,0.7,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,six half terms,CLA 12 months at 31 March,Total,315,113890,11335,10,9745,8.6,1590,1.4,112,35.6,10,3.2
202021,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,six half terms,CLA 12 months at 31 March,State-funded secondary,146,51803,7304,14.1,6137,11.8,1167,2.3,77,52.7,c,c
202021,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,six half terms,CLA 12 months at 31 March,State-funded primary,128,47603,2161,4.5,1988,4.2,173,0.4,19,14.8,0,0
202021,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,six half terms,CLA 12 months at 31 March,Total,169,60173,6501,10.8,5375,8.9,1126,1.9,61,36.1,9,5.3
202021,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,six half terms,CLA 12 months at 31 March,State-funded secondary,81,28175,3256,11.6,2596,9.2,660,2.3,36,44.4,c,c
