LA num,LA Name,LA number,GOInd,GOReg,SN1,SNP,SN2,SNP,SN3,SNP,SN4,SNP,SN5,SNP,SN6,SNP,SN7,SNP,SN8,SNP,SN9,SNP,SN10,SNP,
807,Redcar and Cleveland,807,4,North East,370,Extremely Close,812,Very Close,359,Very Close,342,Very Close,357,Very Close,371,Very Close,372,Very Close,840,Very Close,344,Very Close,841,Very Close,
808,Stockton-on-Tees,808,4,North East,841,Extremely Close,381,Extremely Close,888,Very Close,351,Very Close,359,Very Close,342,Very Close,343,Very Close,344,Very Close,392,Very Close,840,Very Close,
810,"Kingston Upon Hull, City of",810,9,Yorkshire and the Humber,861,Very Close,806,Very Close,890,Close,812,Close,355,Close,805,Close,851,Close,393,Close,879,Close,852,Close,
811,East Riding of Yorkshire,811,9,Yorkshire and the Humber,896,Very Close,860,Very Close,877,Very Close,815,Very Close,937,Very Close,895,Very Close,830,Very Close,891,Very Close,885,Very Close,929,Very Close,
812,North East Lincolnshire,812,9,Yorkshire and the Humber,807,Very Close,371,Very Close,370,Very Close,357,Very Close,372,Very Close,359,Very Close,342,Very Close,384,Very Close,894,Very Close,813,Very Close,
813,North Lincolnshire,813,9,Yorkshire and the Humber,371,Very Close,894,Very Close,372,Very Close,925,Very Close,830,Very Close,359,Very Close,332,Very Close,926,Very Close,940,Very Close,891,Very Close,
815,North Yorkshire,815,9,Yorkshire and the Humber,895,Very Close,811,Very Close,937,Very Close,896,Very Close,857,Very Close,823,Very Close,885,Very Close,860,Very Close,877,Very Close,869,Very Close,
816,York,816,9,Yorkshire and the Humber,937,Very Close,896,Very Close,877,Very Close,356,Very Close,895,Very Close,919,Very Close,850,Very Close,823,Very Close,867,Very Close,885,Very Close,
821,Luton,821,2,East of England,330,Close,871,Close,333,Close,380,Somewhat close,308,Somewhat close,335,Somewhat close,312,Somewhat close,831,Somewhat close,317,Somewhat close,874,Somewhat close,
822,Bedford Borough,822,2,East of England,941,Very Close,886,Very Close,866,Very Close,826,Very Close,937,Very Close,940,Very Close,887,Very Close,919,Very Close,881,Very Close,831,Very Close,
